time,cpu,mem,diskRand,diskSeq
1605373209,866.73,1812.26,22.17,18.24
1605375009,867.22,1811.71,20.71,25.01
1605376809,866.76,1803.46,20.58,26.06
1605378609,867.18,1808.83,31.33,25.74
1605380409,867.01,1810.71,27.66,26.61
1605382209,868.17,1813.25,29.72,26.06
1605384009,866.98,1812.00,30.52,24.44
1605385809,866.43,1812.27,26.20,25.61
1605387609,866.46,1813.02,26.47,23.02
1605389409,867.22,1807.55,18.60,18.02
1605391209,866.52,1812.25,28.02,24.39
1605393009,866.52,1812.51,26.32,25.78
1605394809,867.10,1813.54,29.48,20.33
1605396608,867.02,1812.64,30.70,27.09
1605398409,867.23,1811.83,19.96,19.26
1605400209,866.28,1813.40,22.25,24.00
1605402009,866.33,1813.44,31.64,25.33
1605403809,866.73,1811.45,30.61,26.55
1605405609,868.04,1812.39,30.15,26.12
1605407409,867.42,1811.28,20.51,24.40
1605409209,867.18,1814.08,27.42,27.64
1605411009,867.59,1811.94,17.54,18.19
1605412809,866.34,1810.93,26.87,6.20
1605414609,866.58,1811.76,6.51,1.53
1605416409,866.85,1812.13,6.42,1.56
1605418209,866.97,1811.94,6.52,1.56
1605420009,867.83,1811.74,6.53,1.56
1605421809,868.07,1812.57,6.50,1.56
1605423609,866.36,1813.25,6.49,1.56
1605425409,866.35,1812.77,6.49,1.56
1605427209,866.75,1813.82,6.53,1.56
1605429009,867.05,1811.68,6.52,1.56
1605430809,866.91,1810.74,6.51,1.56
1605432609,866.90,1812.40,6.52,1.56
1605434409,867.07,1810.95,6.53,1.56
1605436209,866.47,1812.54,6.52,1.55
1605438009,868.56,1812.61,6.50,1.56
1605439809,867.01,1812.11,6.53,1.56
1605441609,867.04,1812.03,6.51,1.56
1605443409,867.06,1813.21,6.53,1.56
1605445209,866.87,1813.68,6.51,1.56
1605447009,867.96,1811.11,6.53,1.55
1605448809,867.27,1811.85,6.44,1.55
1605450609,867.17,1810.71,6.44,1.55
1605452408,867.21,1810.64,6.46,1.56
1605454209,866.46,1812.56,6.52,1.56
1605456009,868.01,1813.37,6.52,1.56
1605457809,867.14,1813.07,6.54,1.56
1605459609,867.06,1813.28,6.52,1.56
1605461409,866.96,1811.54,6.52,1.56
1605463209,867.09,1812.40,6.49,1.56
1605465009,867.47,1812.77,6.53,1.56
1605466808,867.18,1812.23,6.48,1.56
1605468609,867.94,1814.21,6.53,1.56
1605470409,868.08,1809.36,6.51,1.56
1605472209,866.83,1814.08,6.51,1.56
1605474009,868.36,1813.13,6.51,1.55
1605475809,866.77,1812.25,6.46,1.54
1605477609,866.83,1813.38,6.45,1.56
1605479409,867.63,1813.20,6.53,1.56
1605481208,867.03,1813.95,6.53,1.56
1605483009,867.19,1812.74,6.53,1.56
1605484809,867.77,1812.32,6.50,1.53
1605486609,866.61,1810.71,6.39,1.55
1605488409,867.05,1809.44,6.33,1.55
1605490209,866.84,1812.26,6.48,1.56
1605492009,867.16,1810.96,6.54,1.56
1605493809,866.85,1811.08,6.50,1.56
1605495608,867.17,1811.58,6.51,1.56
1605497409,867.78,1812.27,6.53,1.56
1605499209,867.85,1814.82,6.51,1.56
1605501009,866.74,1810.96,6.52,1.56
1605502809,867.03,1813.74,6.54,1.56
1605504609,866.45,1811.20,6.54,1.56
1605506409,866.58,1811.68,6.52,1.56
1605508209,867.65,1812.27,6.53,1.56
1605510009,867.05,1812.27,6.53,1.56
1605511809,866.91,1813.36,6.53,1.55
1605513609,867.06,1813.19,6.46,1.56
1605515409,867.02,1811.39,6.50,1.56
1605517209,867.21,1814.22,6.53,1.56
1605519009,866.95,1812.62,6.55,1.56
1605520809,867.46,1813.07,6.52,1.56
1605522609,867.31,1811.63,6.54,1.56
1605524408,867.75,1813.76,6.51,1.56
1605526209,867.35,1812.24,6.52,1.56
1605528009,867.29,1812.60,6.48,1.56
1605529809,868.43,1812.41,6.53,1.56
1605531609,867.72,1813.04,6.51,1.56
1605533409,867.40,1812.84,6.47,1.56
1605535209,867.72,1812.84,6.51,1.56
1605537009,867.19,1812.45,6.51,1.56
1605538809,867.68,1811.72,6.52,1.56
1605540609,867.33,1812.94,6.49,1.56
1605542409,867.28,1812.54,6.45,1.56
1605544209,867.62,1813.27,6.53,1.56
