time,cpu,mem,diskRand,diskSeq
1605618003,937.57,8784.26,2.40,97.10
1605619804,939.93,8755.99,2.39,97.09
1605621603,942.49,8848.75,2.39,89.76
1605623404,938.72,8817.46,2.39,104.09
1605625203,935.38,8802.86,2.40,92.87
1605627004,940.79,8761.17,2.39,94.84
1605628803,939.90,8817.69,2.40,98.78
1605630603,933.69,8792.03,2.39,92.58
1605632403,935.41,8805.79,2.40,99.44
1605634204,930.64,8772.48,2.39,100.45
1605636004,940.47,8810.06,2.39,99.24
1605637803,942.57,8839.16,2.39,104.16
1605639604,942.26,8842.29,2.40,94.34
1605641403,940.57,8853.60,2.40,96.05
1605643203,939.61,8801.98,2.39,101.95
1605645003,937.65,8812.00,2.39,94.28
1605646804,938.34,8827.68,2.39,89.82
1605648603,942.09,8817.16,2.39,104.50
1605650403,935.63,8787.72,2.39,98.55
1605652203,942.49,8818.52,2.39,100.47
1605654003,941.83,8859.98,2.40,101.43
1605655804,941.49,8815.40,2.39,87.78
1605657604,942.83,8860.61,2.40,100.03
1605659403,933.58,8788.13,2.40,101.68
1605661204,934.33,8760.41,2.40,100.99
1605663004,936.25,8693.98,2.40,88.31
1605664803,938.68,8776.07,2.40,98.77
1605666604,937.33,8807.66,2.39,102.60
1605668403,939.84,8761.83,2.39,94.17
1605670203,940.61,8792.57,2.40,88.24
1605672004,940.03,8835.27,2.40,103.60
1605673803,931.25,8835.30,2.39,99.76
1605675603,938.69,8801.05,2.39,105.08
1605677403,939.75,8726.13,2.40,89.38
1605679204,938.70,8772.70,2.40,97.13
1605681004,933.08,8819.87,2.39,98.11
1605682803,937.64,8818.36,2.39,91.75
1605684603,935.08,8773.38,2.40,66.61
1605686403,936.16,8785.49,2.40,87.35
1605688204,934.91,8785.80,2.39,90.42
1605690004,931.80,8796.00,2.40,94.07
1605691803,936.95,8722.91,2.39,79.29
1605693604,929.33,8720.55,2.40,89.84
1605695403,937.21,8729.21,2.39,95.19
1605697204,935.42,8767.21,2.39,86.85
1605699003,939.20,8779.49,2.40,84.68
1605700804,928.95,8693.12,2.40,92.11
1605702603,933.18,8713.90,2.39,102.45
1605704404,938.94,8819.28,2.39,102.27
1605706203,938.03,8777.55,2.40,93.43
1605708004,939.27,8792.52,2.40,103.12
1605709803,931.27,8758.52,2.40,98.68
1605711603,937.88,8764.70,2.40,98.03
1605713404,939.15,8820.40,2.39,98.89
1605715203,936.81,8777.26,2.40,98.25
1605717003,936.47,8810.74,2.39,109.24
1605718804,934.50,8784.58,2.39,108.47
1605720603,938.78,8784.23,2.39,107.94
1605722403,939.67,8824.47,2.39,96.80
1605724203,941.29,8826.25,2.40,108.14
1605726003,937.37,8826.48,2.39,98.02
1605727804,940.62,8791.18,2.40,100.05
1605729603,938.84,8818.46,2.39,104.84
1605731403,939.90,8833.64,2.39,98.73
1605733203,937.96,8861.70,2.40,109.22
1605735003,939.84,8832.30,2.40,111.41
1605736803,937.87,8835.13,2.39,110.57
1605738603,944.02,8864.32,2.40,96.77
1605740403,931.37,8759.42,2.40,86.33
1605742204,934.99,8756.94,2.39,99.62
1605744003,932.49,8784.80,2.39,96.16
1605745803,931.26,8798.08,2.40,115.62
1605747603,920.20,8724.86,2.40,90.31
1605749404,938.27,8706.30,2.40,108.62
1605751203,938.75,8847.39,2.39,117.05
1605753004,941.95,8826.36,2.40,111.02
1605754803,941.40,8863.23,2.40,109.91
1605756603,944.36,8865.17,2.40,100.01
1605758403,940.52,8774.46,2.39,111.93
1605760203,942.12,8839.68,2.40,93.59
1605762003,941.61,8855.10,2.39,116.17
1605763803,944.00,8858.95,2.39,113.45
1605765603,937.42,8851.34,2.39,104.39
1605767403,943.15,8860.00,2.40,111.78
1605769203,942.96,8868.35,2.40,109.15
1605771003,943.28,8860.65,2.39,104.24
1605772803,940.50,8858.39,2.39,98.38
1605774603,943.12,8853.54,2.40,110.50
1605776404,932.24,8824.08,2.40,106.54
1605778203,943.54,8840.34,2.40,111.62
1605780003,937.05,8827.94,2.40,113.14
1605781803,937.90,8807.16,2.40,96.78
1605783603,932.26,8798.90,2.39,99.65
1605785404,933.92,8821.91,2.40,91.15
1605787203,937.72,8779.87,2.39,104.74
1605789004,936.63,8808.64,2.40,99.33
