time,cpu,mem,diskRand,diskSeq
1606822202,1158.21,9742.96,2.39,67.35
1606824002,1157.74,9777.20,2.40,56.65
1606825802,1158.43,9773.07,2.39,51.91
1606827602,1165.21,9778.84,2.39,52.85
1606829402,1155.86,9734.22,2.39,57.72
1606831202,1157.76,9730.18,2.39,59.39
1606833002,1157.39,9773.20,2.40,64.24
1606834802,1157.10,9769.12,2.40,64.37
1606836602,1157.68,9763.14,2.40,54.93
1606838402,1153.75,9761.74,2.39,68.23
1606840202,1156.04,9728.47,2.39,69.57
1606842002,1161.86,9835.89,2.40,54.53
1606843802,1165.29,9820.05,2.39,60.17
1606845602,1157.85,9766.89,2.39,54.68
1606847402,1105.01,9767.53,2.39,62.76
1606849202,1157.01,9740.22,2.39,55.92
1606851002,1156.12,9764.30,2.39,53.93
1606852802,1157.57,9764.97,2.39,56.76
1606854603,1130.16,9485.36,2.39,63.05
1606856402,1155.61,9774.49,2.39,64.99
1606858202,1158.22,9740.42,2.39,62.65
1606860002,1159.69,9767.46,2.39,62.44
1606861802,1157.48,9262.19,2.39,58.81
1606863602,1158.10,9776.61,2.40,58.10
1606865402,1156.99,9777.99,2.39,64.41
1606867202,1158.81,9769.63,2.39,56.92
1606869002,1159.21,9787.90,2.40,67.60
1606870802,1158.83,9775.14,2.38,50.11
1606872602,1158.75,9763.66,2.39,63.79
1606874402,1155.02,9720.23,2.39,63.77
1606876202,1157.99,9761.32,2.39,59.13
1606878002,1157.14,9578.33,2.40,61.71
1606879802,1157.21,9771.50,2.39,54.44
1606881602,1155.52,9677.94,2.39,65.52
1606883402,1158.04,9654.91,2.39,50.76
1606885202,1155.53,9760.76,2.40,62.18
1606887002,1157.30,9772.78,2.40,49.08
1606888802,1157.49,9753.81,2.39,52.01
1606890602,1155.57,9763.93,2.39,63.10
1606892402,984.54,9441.16,2.39,62.16
1606894203,1157.97,9552.34,2.39,61.41
1606896002,1107.65,9773.61,2.39,51.27
1606897802,1156.67,9758.77,2.39,53.02
1606899602,1152.64,9754.97,2.40,66.93
1606901403,1157.04,9681.88,2.40,63.35
1606903202,1104.66,9763.17,2.39,51.33
1606905002,1156.39,9761.49,2.39,56.34
1606906802,1156.52,9751.80,2.39,54.25
1606908602,1154.24,9760.73,2.39,61.10
1606910402,1156.28,9175.94,2.39,59.68
1606912202,1155.12,9759.36,2.39,59.67
1606914002,1155.60,9758.08,2.39,51.17
1606915802,1156.46,9758.53,2.40,52.47
1606917602,1154.30,9762.03,2.40,52.15
1606919402,1156.93,9710.68,2.40,52.08
1606921202,1156.12,9751.09,2.40,63.51
1606923002,1156.38,9750.03,2.39,52.52
1606924802,1158.82,9767.05,2.38,52.87
1606926602,1156.63,9777.15,2.39,66.13
1606928402,1157.49,9717.65,2.39,54.59
1606930203,1157.55,9769.20,2.39,61.63
1606932002,1157.09,9592.34,2.39,55.83
1606933802,1156.73,9758.33,2.40,57.44
1606935602,1156.29,9752.26,2.39,62.14
1606937402,1100.70,9729.45,2.39,57.28
1606939202,1156.34,9768.83,2.39,59.44
1606941002,1157.74,9761.95,2.39,54.10
1606942802,1154.87,9763.70,2.39,55.24
1606944603,1108.67,9733.95,2.39,66.13
1606946402,1156.78,9769.51,2.39,62.91
1606948202,1156.81,9760.65,2.40,49.63
1606950002,1158.04,9758.66,2.39,61.19
1606951802,1154.97,9177.51,2.39,55.47
1606953602,1157.53,9740.23,2.39,56.25
1606955402,1156.11,9761.43,2.39,62.01
1606957202,1156.83,9765.37,2.39,51.48
1606959002,1157.12,9552.00,2.39,55.16
1606960802,1154.31,9764.45,2.39,60.23
1606962602,1157.13,9737.91,2.39,55.93
1606964402,1157.39,9766.54,2.36,63.28
1606966203,1157.16,9766.50,2.39,51.60
1606968002,1157.62,9771.92,2.40,64.07
1606969802,1155.04,9782.12,2.39,54.33
1606971602,1157.14,9744.47,2.40,62.78
1606973402,1157.60,9749.06,2.39,57.29
1606975202,1157.03,9180.68,2.38,59.56
1606977002,1158.33,9783.31,2.38,63.19
1606978802,1163.42,9844.90,2.39,66.04
1606980602,1159.23,9798.40,2.39,51.28
1606982402,1157.43,9776.17,2.40,55.54
1606984202,1158.47,9768.10,2.39,50.80
1606986002,1166.03,9852.64,2.39,53.49
1606987802,1155.08,9776.18,2.39,58.24
1606989603,1158.38,9745.85,2.39,67.72
1606991402,1158.49,9748.40,2.39,65.50
1606993202,1104.67,9742.93,2.39,60.51
